Player Name,Team,Position,Pts,GS,A,CS,B,BPS,PPG,MP,Cost,TSB,GC,OG,PS,PM,Season
Chamberlain,LIV,MID,20,1,0,0,2,57,2.2,332,£4.9,0.0%,7,0,0,0,2022
Ronaldo,MUN,FWD,20,1,0,3,3,42,2.0,519,£10.2,1.9%,8,0,0,0,2022
Cook,NFO,DEF,20,0,0,2,0,149,1.7,956,£4.3,0.1%,21,0,0,0,2022
Souttar,LEI,DEF,20,0,1,1,0,151,1.7,991,£4.5,0.1%,19,1,0,0,2022
Davies,EVE,MID,19,0,0,1,0,55,1.0,524,£4.9,0.0%,9,0,0,0,2022
Pérez,LEI,MID,19,0,2,1,0,69,2.4,378,£4.7,0.1%,5,0,0,0,2022
Palmer,MCI,MID,19,0,1,1,0,76,1.4,358,£4.2,0.1%,4,0,0,0,2022
Diallo,SOU,MID,19,0,0,0,0,95,1.1,813,£4.1,0.4%,19,0,0,0,2022
Hall,CHE,MID,19,0,0,1,3,118,2.1,653,£4.3,0.0%,11,0,0,0,2022
Sarmiento,BHA,MID,16,0,2,1,0,40,1.8,168,£4.5,0.0%,2,0,0,0,2022
Holgate,EVE,DEF,16,0,0,2,2,81,2.0,506,£4.2,0.1%,9,0,0,0,2022
Forshaw,LEE,MID,16,0,0,0,0,78,1.3,473,£4.4,0.0%,13,0,0,0,2022
Llorente,LEE,DEF,16,0,0,1,2,115,2.0,648,£4.4,0.2%,12,0,0,0,2022
Söyüncü,LEI,DEF,16,1,0,0,3,93,2.3,528,£4.2,0.2%,13,0,0,0,2022
Shelvey,NFO,MID,16,0,0,1,0,67,1.5,573,£4.8,0.0%,11,0,0,0,2022
Kristiansen,LEI,DEF,16,0,1,0,0,111,1.3,891,£4.5,0.0%,21,0,0,0,2022
Ghoddos,BRE,MID,15,0,0,0,0,53,1.0,124,£4.8,0.0%,5,0,0,0,2022
Rutter,LEE,FWD,15,0,1,0,0,45,1.4,263,£5,0.0%,9,0,0,0,2022
Danjuma,TOT,MID,15,1,0,0,0,43,1.7,162,£6.1,0.0%,5,0,0,0,2022
Lukic,FUL,MID,15,0,0,0,0,58,1.2,406,£4.5,0.0%,10,0,0,0,2022
Phillips,MCI,MID,14,0,0,1,0,68,1.2,291,£4.8,0.1%,3,0,0,0,2022
Colback,NFO,MID,14,0,0,0,0,73,1.3,492,£4.1,0.7%,11,0,0,0,2022
Sarr,TOT,MID,14,0,1,0,0,60,1.3,211,£4.2,0.5%,11,0,0,0,2022
Lewis-Potter,BRE,MID,14,0,1,0,0,37,1.4,313,£5.2,0.0%,4,0,0,0,2022
Cornet,WHU,MID,14,0,0,0,0,22,1.0,232,£5.9,0.1%,5,0,0,0,2022
Traoré,WOL,MID,14,0,1,0,0,44,1.4,405,£4.3,0.1%,9,0,0,0,2022
Mwepu,BHA,MID,11,0,1,0,0,29,1.8,209,£5.3,0.0%,4,0,0,0,2022
Dubravka,NEW,GKP,11,0,0,1,1,49,5.5,156,£4.1,0.4%,1,0,0,0,2022
Fraser,NEW,MID,11,0,0,1,0,39,1.4,308,£5.2,0.1%,3,0,0,0,2022
Durán,AVL,FWD,11,0,0,0,0,15,0.9,126,£5.5,0.0%,4,0,0,0,2022
A.Ayew,NFO,MID,11,0,0,0,0,27,0.8,306,£5,0.0%,10,0,0,1,2022
Cédric,FUL,DEF,10,0,0,0,0,56,1.2,223,£4.2,0.1%,3,0,0,0,2022
Olsen,AVL,GKP,10,0,0,1,1,62,2.5,280,£3.9,1.4%,8,0,0,0,2022
Keita,LIV,MID,10,0,0,1,0,34,1.2,290,£4.7,0.0%,4,0,0,0,2022
Pearson,BOU,MID,9,0,0,1,0,32,1.3,282,£4.4,0.1%,10,0,0,0,2022
Begović,EVE,GKP,9,0,0,1,2,30,9.0,90,£3.8,0.8%,0,0,0,0,2022
Bryan,TOT,MID,9,0,1,1,0,22,2.2,146,£5,0.0%,1,0,0,0,2022
Tomkins,CRY,DEF,8,1,0,0,1,50,1.3,335,£3.9,0.8%,10,0,0,0,2022
Van de Beek,MUN,MID,8,0,0,0,0,21,1.1,162,£5.1,0.1%,3,0,0,0,2022
McCarthy,SOU,GKP,8,0,0,0,0,83,1.3,540,£4.3,0.1%,17,0,0,0,2022
Hennessey,NFO,GKP,8,0,0,0,0,46,2.0,271,£3.9,1.4%,5,0,0,0,2022
Rondón,EVE,FWD,7,0,0,0,0,12,1.0,103,£4.9,0.3%,2,0,0,0,2022
Rodák,FUL,GKP,7,0,0,1,0,33,3.5,180,£4.3,0.2%,2,0,0,0,2022
Archer,AVL,FWD,6,0,0,0,0,13,1.0,43,£4.2,1.7%,1,0,0,0,2022
Stacey,BOU,DEF,6,0,0,0,0,36,0.6,293,£4.2,0.0%,10,0,0,0,2022
Dembélé,BOU,MID,6,0,0,0,0,20,1.0,104,£4.7,0.1%,2,0,0,0,2022
Riedewald,CRY,MID,6,0,0,0,0,19,1.0,60,£4.2,0.0%,0,0,0,0,2022
Van Hecke,BHA,DEF,6,0,0,0,0,54,0.8,291,£4,0.3%,7,0,0,0,2022
Bentley,WOL,GKP,6,0,0,0,0,45,3.0,180,£4,0.0%,3,0,0,0,2022
Brooks,BOU,MID,5,0,0,0,0,7,0.8,170,£5.3,0.0%,4,0,0,0,2022
Canós,BRE,DEF,5,0,0,0,0,14,1.0,73,£5,0.1%,2,0,0,0,2022
Hodge,WOL,MID,5,0,0,0,0,17,0.8,172,£4.3,0.0%,5,0,0,0,2022
Campbell,WOL,MID,5,0,0,0,0,9,1.0,68,£4.4,0.3%,2,0,0,0,2022
Scarpa,NFO,MID,5,0,0,0,0,16,0.8,177,£4.6,0.0%,1,0,0,0,2022
Diego Carlos,AVL,DEF,4,0,0,0,0,20,1.3,205,£4.7,0.2%,3,0,0,0,2022
Stanislas,BOU,MID,4,0,0,0,0,13,1.0,58,£4.8,0.0%,1,0,0,0,2022
Bech,BRE,DEF,4,0,0,0,0,12,1.0,18,£4.5,0.0%,0,0,0,0,2022
Duffy,FUL,DEF,4,0,0,0,0,12,0.8,17,£4.2,0.1%,4,0,0,0,2022
McArthur,CRY,MID,4,0,0,0,0,13,1.0,50,£4.8,0.0%,0,0,0,0,2022
Pellistri,MUN,MID,4,0,0,0,0,14,1.0,60,£4.3,0.0%,1,0,0,0,2022
Phillips,LIV,DEF,3,0,0,0,0,17,1.5,65,£3.8,0.6%,1,0,0,0,2022
Harris,FUL,MID,3,0,0,0,0,7,1.0,10,£4.3,0.0%,1,0,0,0,2022
Whitworth,CRY,GKP,3,0,0,0,0,28,1.5,180,£4,0.1%,5,0,0,0,2022
Mateo Joseph,LEE,FWD,3,0,0,0,0,5,1.0,24,£4.5,0.0%,0,0,0,0,2022
